jurisdiction_type,da_number,district,project_name,longitude,latitude,date_issued_or_denied,rha_determination,cwa_determination,rha1,rha2,cwa1,cwa2,cwa3,cwa4,cwa5,cwa6,cwa7,cwa8,cwa9,potential_wetland,index
RAPANOS,LRB-1983-10120,Buffalo,Trade-A-Yacht (Hibiscus Harbor - Union Springs location),-76.70773,42.85821,06/19/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
RAPANOS,LRB-1985-69031,Buffalo,"POOLEY, MARK A.",-75.85523999999998,43.1523,07/07/2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
RAPANOS,LRB-1986-99614,Buffalo,"Bellamy, Michael (previous: MACKO, JOHN)",-78.04046,42.68911,10/12/2017,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3
RAPANOS,LRB-1990-97632,Buffalo,WESTWOOD COUNTRY CLUB,-78.77134000000001,42.97994,06/28/2016,0,1,0,0,1,0,1,0,0,0,0,0,0,1,4
RAPANOS,LRB-1991-98611,Buffalo,MODERN LANDFILL INCORPORATED,-78.97141999999998,43.216159999999995,03/22/2016,0,1,0,0,0,0,1,0,1,1,0,0,0,1,5
RAPANOS,LRB-1991-99478,Buffalo,Hakes C&D Landfill 4376 MANNING RIDGE ,-77.1062,42.21566,01/08/2018,0,1,0,0,0,0,0,1,0,0,1,0,0,1,6
RAPANOS,LRB-1994-87212,Buffalo,"GREENE, JOHN C.",-75.04337,44.9305,02/04/2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7
RAPANOS,LRB-1997-9760150,Buffalo,"PALMER, JONATHAN LARDON CONSTRUCTION COR",-78.83386,42.7949,05/03/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
RAPANOS,LRB-1997-9760182,Buffalo,Good Earth Organics,-78.63048999999998,42.89567,12/12/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
RAPANOS,LRB-1999-01528,Buffalo,"POES, RICHARD WILLIAM",-76.69828000000001,42.660470000000004,02/04/2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10
RAPANOS,LRB-1999-01857,Buffalo,"LAKEWOOD, CITY OF",-81.82489,41.479209999999995,04/19/2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,11
RAPANOS,LRB-1999-02061,Buffalo,"Fair Point Marina, (Snowden Properties LLC) formerly Boathouse Marine ",-76.71328000000001,43.34411,01/28/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
RAPANOS,LRB-2000-00809,Buffalo,"Omni Property Companies - Hudson  (Formerly: OMNI REALTY COMPANY, INCORPORATED)",-81.47880000000002,41.2513,01/12/2016,0,1,0,0,0,0,1,0,1,1,0,0,0,1,13
RAPANOS,LRB-2000-01534,Buffalo,"CWM CHEMICAL SERVICES, L.L.C.-MODEL CITY",-78.9709,43.22576,03/29/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
RAPANOS,LRB-2001-02048,Buffalo,"United Model Homes, LLC (formerly Gamellia Construction  (Formerly Margam Investment NWG LLC, Drees Homes, and GAMELLIA CONSTRUCTION, INCORPORATED)",-81.97678000000002,41.48369,03/31/2017,0,1,0,0,0,0,0,0,0,1,0,0,0,1,15
RAPANOS,LRB-2004-00299,Buffalo,"Cobblestone Park Development LLC (Formerly: POWERS, TIM COBBLESTONE ESTATES)",-81.8569,41.098,07/21/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16
RAPANOS,LRB-2004-01011,Buffalo,"Bucyrus Lodging, Inc. (formerly BELLFLOWER ROAD DEVELOPMENT OSBORNE JR.)",-81.3415,41.6874,01/04/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17
RAPANOS,LRB-2004-01269,Buffalo,"RUPNOW, DAVID R.",-81.4794,41.5883,08/17/2016,0,1,0,0,0,0,1,0,1,0,0,0,0,0,18
RAPANOS,LRB-2004-01276,Buffalo,"Young Development - 4720 Transit Road (previously: METZGER, MICHAEL)",-78.69785,42.864940000000004,11/20/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19
RAPANOS,LRB-2004-02278,Buffalo,HIDEAWAY HARBOR INCORPORATED,-76.70480999999998,42.86034,09/07/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20
RAPANOS,LRB-2004-02452,Buffalo,LIVINGSTON COUNTY HIGHWAY DEPARTMENT FEM,-77.86687999999998,42.63795,04/20/2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,21
CWR,LRB-2005-00781,Buffalo,"HOFFMAN, MARK - SOUTH LAKE HUNT CLUB",-83.14360000000002,41.60608,09/22/2015,1,1,0,1,1,0,0,0,0,0,0,0,0,0,22
RAPANOS,LRB-2005-02179,Buffalo,"Sherwood, Richard and Joyce ",-82.36028,41.39562,01/04/2016,0,1,0,0,0,0,0,0,0,1,1,0,0,0,23
RAPANOS,LRB-2006-00574,Buffalo,Barrington Residential Subdivision,-81.36293999999998,41.33618,07/18/2016,0,1,0,0,0,0,1,1,1,0,1,0,0,1,24
RAPANOS,LRB-2006-00755,Buffalo,"Millers Crossing LLC (Formerly: KISSINGER, JEFF CLEAR CHOICE CUSTOM VISI)",-81.64059,41.29299,03/13/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25
RAPANOS,LRB-2006-02278,Buffalo,"Dream Settings Development, Inc.",-78.6756,43.0025,06/15/2017,0,1,0,0,0,0,1,0,1,0,0,0,0,1,26
RAPANOS,LRB-2007-01594,Buffalo,Toledo-Lucas County Port Authority (South Airfield Road Industrial Park),-83.81035,41.57986,05/08/2018,0,1,0,0,0,0,1,0,1,0,0,0,0,1,27
RAPANOS,LRB-2008-00278,Buffalo,"Ontario County DPW, Finger Lakes Community College",-77.24985,42.86456,03/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28
RAPANOS,LRB-2008-00768,Buffalo,Fisher's Ridge ,-77.43205,42.99684,11/30/2015,0,1,0,0,0,0,1,0,0,0,0,0,0,0,29
RAPANOS,LRB-2008-00809,Buffalo,County Line Estates (formerly Hunting Ridge Subdivision),-81.38834,41.50517,10/13/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30
RAPANOS,LRB-2008-00987,Buffalo,Brunner International Inc. (Formerly Orleans County Economic Development Agency),-78.36731,43.22025,07/29/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31
RAPANOS,LRB-2009-00630,Buffalo,Village of Herkimer (Hydraulic Canal),-74.98471000000002,43.02963,09/06/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32
RAPANOS,LRB-2009-01161,Buffalo,"Ithaca, City of  (Dredge Disposal Site) - Cross Reference with 2007-00962 and 2016-00497",-76.52632,42.4276,12/21/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33
RAPANOS,LRB-2009-01524,Buffalo,Richfield Furnace Run LLC,-81.62623000000002,41.23809,04/28/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34
RAPANOS,LRB-2010-00927,Buffalo,Cleveland Metroparks - Hinckley Lake Minor Dredging Permit,-81.71643,41.218070000000004,03/24/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
RAPANOS,LRB-2010-01504,Buffalo,"West Central Ohio Industrial Center (formerly Wapakoneta, City of)",-84.18132,40.53924,01/23/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36
RAPANOS,LRB-2010-01519,Buffalo,The Jewish Home of Rochester,-77.58614,43.10595,02/14/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,1,37
CWR,LRB-2010-01556,Buffalo,"Erie County SWCD - Anthony Gulf (Previously: Boston, Town of - Anthony Gulf bank stabilization)",-78.74169000000002,42.65533,09/08/2015,0,1,0,0,0,0,1,0,0,0,0,0,0,0,38
RAPANOS,LRB-2010-01656,Buffalo,"293 A Alden Road LLC - 1201 Elmwood Avenue, Brighton, NY",-77.60502,43.1207,07/28/2016,0,1,0,0,0,0,1,0,1,0,0,0,0,1,39
RAPANOS,LRB-2010-01696,Buffalo,"Grant, Jerilyn (formerly Sedon, Brent )",-83.00096000000002,41.53933,11/02/2016,1,1,0,1,0,1,1,0,0,0,0,1,0,1,40
RAPANOS,LRB-2011-00230,Buffalo,"Cunningham, Donald S. (previous: Cook, Jeffrey Marshall)",-78.00524,43.11659,10/31/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41
RAPANOS,LRB-2011-00919,Buffalo,"Paris, David and Michelle- Retaining wall",-81.42031,41.43092,12/15/2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,42
RAPANOS,LRB-2012-00081,Buffalo,Marcourt Farms Homeowners Assocation,-81.40235,41.49991,11/03/2015,0,1,0,0,0,0,1,0,0,0,0,0,0,0,43
RAPANOS,LRB-2012-00241,Buffalo,"Kruth, Mayer Louis",-75.88406999999998,42.9751,04/20/2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,44
RAPANOS,LRB-2012-00668,Buffalo,North Coast Regional Council of Park Districts - In-Lieu Fee Program,-82.00476,41.43851,05/12/2017,0,1,0,0,0,0,1,1,0,1,0,0,0,1,45
RAPANOS,LRB-2012-00837,Buffalo,UYS - Seasons Road,-81.48932000000002,41.20447,10/06/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46
RAPANOS,LRB-2012-00897,Buffalo,UYS - Seasons Road and Wyoga Lake Road,-81.49391999999999,41.20362,10/06/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47
RAPANOS,LRB-2012-00990,Buffalo,"Hardin, Kathie M.",-81.94744,41.493179999999995,05/05/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
RAPANOS,LRB-2012-01239,Buffalo,"Wixson, Robert (formerly - Barry Wixon)",-76.80139,42.3379,08/24/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49
RAPANOS,LRB-2012-01399,Buffalo,"Hyland Software, Inc. - South Campus Expansion",-81.93684,41.46934,11/02/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50
RAPANOS,LRB-2012-01483,Buffalo,"Mawhiney Trucking - Helmich Site (previous: Daniewitz, Christopher)",-78.89427999999998,43.1971,03/14/2018,0,1,0,0,0,0,0,0,0,0,0,0,0,1,51
RAPANOS,LRB-2013-00206,Buffalo,"Hejduk, Cox, and Associates - Hawthorn Property",-81.37787,41.33542,02/10/2016,0,1,0,0,0,0,1,1,1,1,1,0,0,1,52
RAPANOS,LRB-2013-00260,Buffalo,Lakeside Sand and Gravel Inc,-81.27417,41.25482,06/09/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
RAPANOS,LRB-2013-00313,Buffalo,"Toledo, City of -  Yondota Road Pumping Station, Jerusalem Township, Lucas County",-83.30672,41.67524,05/03/2018,0,1,0,0,0,1,0,0,0,0,0,0,0,0,54
RAPANOS,LRB-2013-00494,Buffalo,National Fuel Gas Supply Company - Line C-46S Eden,-78.81783,42.6745,02/11/2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,55
RAPANOS,LRB-2013-00762,Buffalo,Broome County DPW - Upper Lisle Road Bridge (BIN 3349680),-75.95992,42.39672,04/27/2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,56
RAPANOS,LRB-2013-00791,Buffalo,"Double C Realty of NY, Inc",-78.98265000000002,43.130720000000004,07/12/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,1,57
RAPANOS,LRB-2013-00821,Buffalo,Moog - Jamison Road,-78.65533000000002,42.80265,04/14/2016,0,1,0,0,0,0,1,1,0,1,1,1,0,1,58
RAPANOS,LRB-2013-01010,Buffalo,"NEORSD- Euclid Creek Channel Repairs (formerly: Cleveland, City of (Euclid Creek Channel Repairs))",-81.54879,41.575959999999995,04/12/2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,59
RAPANOS,LRB-2013-01216,Buffalo,IronUnits LLC - HBI Plant (formerly TLPA- Ironville Redevelopment),-83.47635,41.67217,09/06/2017,0,1,0,0,1,1,1,0,0,1,0,0,0,1,60
RAPANOS,LRB-2013-01325,Buffalo,Ontario County DPW - Ontario County Park Dam,-77.40773,42.70848,02/24/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61
RAPANOS,LRB-2014-00066,Buffalo,Pinecrest Project Partners LLC (Formerly Pine Orange LLC),-81.48594,41.45472,06/02/2016,0,1,0,0,0,0,1,1,0,0,1,0,0,0,62
RAPANOS,LRB-2014-00921,Buffalo,"Timothy Properties, LLC",-77.36328,43.22733,11/23/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63
RAPANOS,LRB-2014-00940,Buffalo,KDM Development Corporation,-78.94762,43.12908,10/05/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,1,64
RAPANOS,LRB-2014-00966,Buffalo,Sam D'Angelo & Sons - Marc Shawn Estates,-78.87799,43.086090000000006,02/18/2016,0,1,0,0,0,0,1,0,1,1,0,0,0,1,65
RAPANOS,LRB-2014-01033,Buffalo,Modern Corporation,-78.98562,43.205040000000004,04/11/2016,0,1,0,0,0,0,0,0,0,1,0,0,0,1,66
RAPANOS,LRB-2014-01078,Buffalo,"Benderson Development Company, LLC - 4057 West Ridge Road",-77.73957,43.21445,11/24/2015,0,1,0,0,0,0,1,0,1,0,0,0,0,1,67
RAPANOS,LRB-2014-01116,Buffalo,DiFelice Development - Redfield Grove Subdivision,-77.35286000000002,42.97702,10/30/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68
RAPANOS,LRB-2014-01137,Buffalo,"Westside Development, LLC - Ballantyne Road",-77.72328,43.09207,12/11/2015,0,1,0,0,0,0,1,0,1,1,0,0,0,1,69
RAPANOS,LRB-2014-01198,Buffalo,"Cuyahoga Falls, City of - Woodward Creek ",-81.5228,41.17406,04/04/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70
RAPANOS,LRB-2014-01300,Buffalo,"Harris Hill Acres, LLC)",-78.68022000000002,42.946909999999995,11/12/2015,0,1,0,0,0,0,0,0,0,0,1,0,0,1,71
RAPANOS,LRB-2014-01350,Buffalo,"Lake County Stormwater Management Department (formerly GGC Engineers, Inc. - Center Park Estates",-81.2775,41.69572,03/31/2016,0,1,0,0,0,0,1,0,1,1,0,0,0,1,72
RAPANOS,LRB-2014-01383,Buffalo,"Ann Arbor Railroad, Inc.",-83.57178999999998,41.713159999999995,04/11/2017,0,1,0,0,0,0,1,0,1,0,0,0,0,1,73
RAPANOS,LRB-2015-00037,Buffalo,"Clark, Robert",-76.37050000000002,43.16649,12/02/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74
RAPANOS,LRB-2015-00348,Buffalo,Stark Monica and Terry,-81.23842999999998,41.64285,12/16/2015,0,1,0,0,0,0,0,0,1,0,0,0,0,0,75
RAPANOS,LRB-2015-00439,Buffalo,Chautauqua County of Public Facilities - County Bridge 1115 (BIN 2267740),-79.35898,42.40023,12/04/2015,0,1,0,0,0,0,1,0,0,1,0,0,0,0,76
RAPANOS,LRB-2015-00446,Buffalo,"The Exchange Group, LLC. - Love Road",-78.98366999999999,42.995309999999996,03/15/2016,0,1,0,0,0,0,1,0,1,1,0,0,0,1,77
RAPANOS,LRB-2015-00455,Buffalo,"Intergrow Greenhouses, Inc. (previously: Havecon - Salt Road Green House)",-77.39664,43.2076,12/01/2015,0,1,0,0,0,0,1,0,1,0,0,0,0,1,78
RAPANOS,LRB-2015-00476,Buffalo,Tompkins County Highway Division - West Miller Road,-76.49029,42.36756,12/17/2015,0,1,0,0,0,0,1,0,0,0,0,0,0,0,79
RAPANOS,LRB-2015-00485,Buffalo,American Tire Distributors,-83.5959,41.077529999999996,03/16/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80
RAPANOS,LRB-2015-00515,Buffalo,"Olson, Donald - Hopkins Road",-78.73853000000001,43.003640000000004,02/16/2016,0,1,0,0,0,0,0,0,0,1,0,0,0,0,81
RAPANOS,LRB-2015-00588,Buffalo,"Nichols Cross Dock, LLC. (previously: Nichols, Town of; Fed Ex facility; Napierala Consulting Professional Engineer, P.C.) ",-76.31144,42.0643,10/26/2015,0,1,0,0,0,0,1,0,0,0,0,0,0,1,82
RAPANOS,LRB-2015-00609,Buffalo,"Olney, Seth",-77.09819,42.54829,01/11/2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,83
RAPANOS,LRB-2015-00637,Buffalo,"A. H. Rossford Holdings, LLC",-83.54434999999998,41.61602,04/18/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84
RAPANOS,LRB-2015-00671,Buffalo,Cimato Enterprises - Woodland Hills Subdivision,-78.6741,42.984559999999995,08/25/2016,0,1,0,0,0,0,1,0,1,0,1,0,0,1,85
RAPANOS,LRB-2015-00678,Buffalo,Oneida County DPW - Taberg Road (C1-70A),-75.68268,43.36352,01/15/2016,0,1,0,0,0,0,1,0,1,0,0,0,0,0,86
RAPANOS,LRB-2015-00703,Buffalo,Ulatowski,-78.63096,42.8725,10/28/2015,0,1,0,0,0,0,1,0,1,1,0,0,0,1,87
RAPANOS,LRB-2015-00714,Buffalo,"2800 Grand Island Boulevard, LLC (previously: Gardner Plus Architects - Elderwood Senior Care)",-78.97986,43.03823,12/22/2015,0,1,0,0,0,0,1,0,1,1,0,0,0,1,88
