,Unnamed: 0,Unnamed: 0.1,jurisdiction_type,da_number,district,project_name,longitude,latitude,date_issued_or_denied,rha_determination,cwa_determination,rha1,rha2,cwa1,cwa2,cwa3,cwa4,cwa5,cwa6,cwa7,cwa8,cwa9,potential_wetland,index,Index,mukey,hydclprs,aws025wta,drclassdcd,nhd_vars_wb,nhd_vars_fl,fl_comids,fl_ftype,fl_gnis_count,fl_length,fl_comid_list,fl_areasqkm,fl_totdasqkm,fl_flow_type
1500,1500,1500,RAPANOS,LRL-2017-00748,Louisville,Columbia/Adair Utilities District - Water Line Replacement,-85.31201,37.09981,08/29/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1501,1501,1413379.0,0.0,3.08,,"([], '', 0, 0, 0)","([4002094, 4002110, 4002186], 'StreamRiver+StreamRiver+StreamRiver+', 2, nan, 5.593)",4002094 4002110 4002186,StreamRiver+StreamRiver+StreamRiver+,2,5.593,"[4002094, 4002110, 4002186]",4.8879,658.9287,3.0
1501,1501,1501,RAPANOS,LRL-2017-00772,Louisville,"JD Request for Downtown CSO Interceptor, Ohio River TUnnel & Rowan Pump Station Projects",-85.76864,38.25965,08/29/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502,1502,1536428.0,0.0,0.0,,"([], '', 0, 0, 0)","([10164002], 'ArtificialPath+', 1, nan, 5.703)",10164002,ArtificialPath+,1,5.703,[10164002],16.191,235681.8399,1.0
1502,1502,1502,RAPANOS,LRL-2017-00775,Louisville,Celestine Compressor Station Stormwater Improv Proj.,-86.77791000000002,38.37777,12/06/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503,1503,535661.0,0.0,4.79,Moderately well drained,"([], '', 0, 0, 0)","([18439192, 18439456], 'StreamRiver+StreamRiver+', 0, nan, 3.968)",18439192 18439456,StreamRiver+StreamRiver+,0,3.968,"[18439192, 18439456]",10.413,15.8139,2.0
1503,1503,1503,RAPANOS,LRL-2017-00779-mad,Louisville,Ellis Estate Development,-87.14256,37.74244,09/07/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1504,1504,549430.0,5.0,5.67,Somewhat poorly drained,"([], '', 0, 0, 0)","([], '', 0, 0, 0)",,,0,0.0,[],0.0,0.0,0.0
1504,1504,1504,RAPANOS,LRL-2017-00789-SCM,Louisville,"Samaritan Senior Lifestyle Communities, Parkside, Fishers, Hamilton County",-86.00068,39.97531,05/22/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1505,1505,3105085.0,65.0,4.32,Poorly drained,"([18475593], 'LakePond+', 0, 0.033, nan)","([], '', 0, 0, 0)",,,0,0.0,[],0.0,0.0,0.0
1505,1505,1505,RAPANOS,LRL-2017-00815,Louisville,Clark County Bethany Road reconstruction (Des. No. 071003),-85.69973,38.42685,10/12/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1506,1506,200929.0,0.0,5.26,Moderately well drained,"([], '', 0, 0, 0)","([10163528], 'StreamRiver+', 1, nan, 3.912)",10163528,StreamRiver+,1,3.912,[10163528],11.709,17.0955,1.0
1506,1506,1506,RAPANOS,LRL-2017-00829-SCM,Louisville,"Pre-Application & Approved JD Request - NW Lot Metro Court, Noblesville, Hamilton County",-85.98029,40.04072,01/19/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1507,1507,3186656.0,2.0,5.26,Somewhat poorly drained,"([], '', 0, 0, 0)","([18474949], 'StreamRiver+', 1, nan, 4.977)",18474949,StreamRiver+,1,4.977,[18474949],13.3794,132.8121,1.0
1507,1507,1507,RAPANOS,LRL-2017-00851-MKD,Louisville,Slate Run Elementary School,-85.79937,38.31522,09/19/2017,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1508,1508,185208.0,0.0,5.23,,"([], '', 0, 0, 0)","([10163688], 'StreamRiver+', 1, nan, 7.025)",10163688,StreamRiver+,1,7.025,[10163688],9.1647,557.5671,1.0
1508,1508,1508,RAPANOS,LRL-2017-00857-LCL,Louisville,JD - Morningside Subdivision - CalAtlantic Homes,-86.17124,39.53328,11/09/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1509,1509,161658.0,2.0,5.26,Somewhat poorly drained,"([], '', 0, 0, 0)","([], '', 0, 0, 0)",,,0,0.0,[],0.0,0.0,0.0
1509,1509,1509,RAPANOS,LRL-2017-00879,Louisville,Airspace IV Site,-85.74620999999998,38.11621,11/15/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1510,1510,1533094.0,25.0,5.13,,"([10263634], 'LakePond+', 0, 0.011, nan)","([10264534, 10264148, 10264542], 'StreamRiver+StreamRiver+StreamRiver+', 3, nan, 7.119)",10264534 10264148 10264542,StreamRiver+StreamRiver+StreamRiver+,3,7.119,"[10264534, 10264148, 10264542]",8.249400000000001,29.0169,3.0
