,da_number,district,longitude,latitude,cwa_determination,potential_wetland,county,state
0,LRB-1983-10120,0,-76.70773,42.85821,0,1,0,36.0
1,LRB-1985-69031,0,-75.85524,43.1523,1,0,1,36.0
2,LRB-1986-99614,0,-78.04046,42.68911,1,0,2,36.0
3,LRB-1990-97632,0,-78.77134,42.97994,1,1,3,36.0
4,LRB-1991-98611,0,-78.97142,43.21616,1,1,4,36.0
5,LRB-1991-99478,0,-77.1062,42.21566,1,1,5,36.0
6,LRB-1994-87212,0,-75.04337,44.9305,1,0,6,36.0
7,LRB-1997-9760150,0,-78.83386,42.7949,0,1,3,36.0
8,LRB-1997-9760182,0,-78.63049,42.89567,0,1,3,36.0
9,LRB-1999-01528,0,-76.69828,42.66047,1,0,7,36.0
10,LRB-1999-01857,0,-81.82489,41.47921,1,0,8,39.0
11,LRB-1999-02061,0,-76.71328,43.34411,0,0,0,36.0
12,LRB-2000-00809,0,-81.4788,41.2513,1,1,9,39.0
13,LRB-2000-01534,0,-78.9709,43.22576,0,1,4,36.0
14,LRB-2001-02048,0,-81.97678,41.48369,1,1,10,39.0
15,LRB-2004-00299,0,-81.8569,41.098,0,1,11,39.0
16,LRB-2004-01011,0,-81.3415,41.6874,0,1,12,39.0
17,LRB-2004-01269,0,-81.4794,41.5883,1,0,12,39.0
18,LRB-2004-01276,0,-78.69785,42.86494,0,1,3,36.0
19,LRB-2004-02278,0,-76.70481,42.86034,0,1,0,36.0
20,LRB-2004-02452,0,-77.86688,42.63795,1,0,13,36.0
21,LRB-2005-00781,0,-83.1436,41.60608,1,0,14,39.0
22,LRB-2005-02179,0,-82.36028,41.39562,1,0,3,39.0
23,LRB-2006-00574,0,-81.36294,41.33618,1,1,15,39.0
24,LRB-2006-00755,0,-81.64059,41.29299,0,1,8,39.0
25,LRB-2006-02278,0,-78.6756,43.0025,1,1,3,36.0
26,LRB-2007-01594,0,-83.81035,41.57986,1,1,16,39.0
27,LRB-2008-00278,0,-77.24985,42.86456,0,1,17,36.0
28,LRB-2008-00768,0,-77.43205,42.99684,1,0,17,36.0
29,LRB-2008-00809,0,-81.38834,41.50517,0,1,18,39.0
30,LRB-2008-00987,0,-78.36731,43.22025,0,1,19,36.0
31,LRB-2009-00630,0,-74.98471,43.02963,0,1,20,36.0
32,LRB-2009-01161,0,-76.52632,42.4276,0,1,21,36.0
33,LRB-2009-01524,0,-81.62623,41.23809,0,1,9,39.0
34,LRB-2010-00927,0,-81.71643,41.21807,0,0,11,39.0
