,cwa_determination,da_number,district,longitude,latitude,potential_wetland,county,state
0,0,LRB-1983-10120,Buffalo,-76.70773,42.85821,1,Cayuga,36.0
1,1,LRB-1985-69031,Buffalo,-75.85524,43.1523,0,Madison,36.0
2,1,LRB-1986-99614,Buffalo,-78.04046,42.68911,0,Wyoming,36.0
3,1,LRB-1990-97632,Buffalo,-78.77134,42.97994,1,Erie,36.0
4,1,LRB-1991-98611,Buffalo,-78.97142,43.21616,1,Niagara,36.0
5,1,LRB-1991-99478,Buffalo,-77.1062,42.21566,1,Steuben,36.0
6,1,LRB-1994-87212,Buffalo,-75.04337,44.9305,0,St. Lawrence,36.0
7,0,LRB-1997-9760150,Buffalo,-78.83386,42.7949,1,Erie,36.0
8,0,LRB-1997-9760182,Buffalo,-78.63049,42.89567,1,Erie,36.0
9,1,LRB-1999-01528,Buffalo,-76.69828,42.66047,0,Seneca,36.0
10,1,LRB-1999-01857,Buffalo,-81.82489,41.47921,0,Cuyahoga,39.0
11,0,LRB-1999-02061,Buffalo,-76.71328,43.34411,0,Cayuga,36.0
12,1,LRB-2000-00809,Buffalo,-81.4788,41.2513,1,Summit,39.0
13,0,LRB-2000-01534,Buffalo,-78.9709,43.22576,1,Niagara,36.0
14,1,LRB-2001-02048,Buffalo,-81.97678,41.48369,1,Lorain,39.0
15,0,LRB-2004-00299,Buffalo,-81.8569,41.098,1,Medina,39.0
16,0,LRB-2004-01011,Buffalo,-81.3415,41.6874,1,Lake,39.0
17,1,LRB-2004-01269,Buffalo,-81.4794,41.5883,0,Lake,39.0
18,0,LRB-2004-01276,Buffalo,-78.69785,42.86494,1,Erie,36.0
19,0,LRB-2004-02278,Buffalo,-76.70481,42.86034,1,Cayuga,36.0
20,1,LRB-2004-02452,Buffalo,-77.86688,42.63795,0,Livingston,36.0
21,1,LRB-2005-00781,Buffalo,-83.1436,41.60608,0,Ottawa,39.0
22,1,LRB-2005-02179,Buffalo,-82.36028,41.39562,0,Erie,39.0
23,1,LRB-2006-00574,Buffalo,-81.36294,41.33618,1,Portage,39.0
24,0,LRB-2006-00755,Buffalo,-81.64059,41.29299,1,Cuyahoga,39.0
25,1,LRB-2006-02278,Buffalo,-78.6756,43.0025,1,Erie,36.0
26,1,LRB-2007-01594,Buffalo,-83.81035,41.57986,1,Lucas,39.0
27,0,LRB-2008-00278,Buffalo,-77.24985,42.86456,1,Ontario,36.0
