,da_number,wb_area_sum_2500m,wb_gnis_name_ind_count_2500m,wb_ftype_artificialpath_2500m,wb_ftype_canalditch_2500m,wb_ftype_coastline_2500m,wb_ftype_connector_2500m,wb_ftype_pipeline_2500m,wb_ftype_streamriver_2500m,fl_areasqkm_sum_2500m,fl_gnis_name_ind_count_2500m,fl_totdasqkm_sum_2500m,fl_flow_type_count_2500m,fl_streamorde_sum_2500m,fl_intephem_sum_2500m,fl_startflag_sum_2500m,fl_divergence_sum_2500m,fl_length_sum_2500m,fl_ftype_artificialpath_2500m,fl_ftype_canalditch_2500m,fl_ftype_coastline_2500m,fl_ftype_connector_2500m,fl_ftype_pipeline_2500m,fl_ftype_streamriver_2500m,wb_area_sum_200m,wb_gnis_name_ind_count_200m,wb_ftype_artificialpath_200m,wb_ftype_canalditch_200m,wb_ftype_coastline_200m,wb_ftype_connector_200m,wb_ftype_pipeline_200m,wb_ftype_streamriver_200m,fl_areasqkm_sum_200m,fl_gnis_name_ind_count_200m,fl_totdasqkm_sum_200m,fl_flow_type_count_200m,fl_streamorde_sum_200m,fl_intephem_sum_200m,fl_startflag_sum_200m,fl_divergence_sum_200m,fl_length_sum_200m,fl_ftype_artificialpath_200m,fl_ftype_canalditch_200m,fl_ftype_coastline_200m,fl_ftype_connector_200m,fl_ftype_pipeline_200m,fl_ftype_streamriver_200m
0,LRB-1983-10120,0.0,1,0,0,0,0,1,0,15.1614,6,5720.5593,6,21,0,1,0,,5,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
1,LRB-1985-69031,207.005,1,0,1,0,0,0,0,12.3723,5,819.7578,5,14,0,1,0,,3,0,0,0,0,2,207.005,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0
2,LRB-1986-99614,3.329,1,0,1,0,0,0,0,12.4002,7,33.5475,7,9,2,1,0,,5,0,0,0,0,2,3.329,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0
3,LRB-1990-97632,0.009,0,0,2,0,0,0,0,21.6963,2,225.8829,2,5,1,1,0,,0,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
4,LRB-1991-98611,0.0,0,0,0,0,0,0,0,9.5229,7,26.6526,7,6,1,1,0,0.0,0,5,0,0,0,2,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
5,LRB-1991-99478,0.0,0,0,0,0,0,0,0,15.9372,1,15.9372,1,1,0,1,0,0.0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
6,LRB-1994-87212,68.627,1,0,3,0,0,0,0,0.0,0,0.0,0,0,0,0,0,,1,0,0,0,0,0,62.809,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0
7,LRB-1997-9760150,0.0,0,0,0,0,0,0,0,19.1844,2,29.9052,2,3,0,1,0,0.0,0,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
8,LRB-1997-9760182,0.019,0,0,1,0,0,0,0,18.5787,21,1203.2244,21,49,8,6,3,,1,0,0,0,0,20,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
9,LRB-1999-01528,171.21,1,0,2,0,0,0,0,17.3925,11,3057.3711,11,25,0,1,0,,8,0,0,0,0,3,171.202,1,0,1,0,0,0,0,2.898,2,9.8217,2,4,0,0,0,,1,0,0,0,0,1
10,LRB-1999-01857,12045.529,1,0,1,0,0,0,0,12.2229,6,3775.9563,6,25,0,0,3,,1,0,2,0,0,5,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
11,LRB-1999-02061,6695.208,2,0,3,0,0,0,0,10.746,5,-19539.1773,5,9,0,0,0,,2,0,5,0,0,1,6693.837,1,0,1,0,0,0,0,8.5815,1,-9999.0,1,0,0,0,0,,0,0,2,0,0,0
12,LRB-2000-00809,0.19,2,0,2,0,0,0,0,16.8633,7,92.1879,7,14,2,1,0,,2,0,0,0,0,5,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
