,img_res,img_type,img_index,da_num,img_path,da_number,cwa_determination,metrics,mean,stdev,min,max,num_nans,district_code
0,hires,RGB,688,SAC-2016-01382,/data/rgb_raw1/Sample_Set_12345_hires_RGB_688_SAC-2016-01382_RGB_hires.tif,SAC-2016-01382,0,"(387.4623260498047, 378.9677084295356, 1, 6656, 0)",387.4623260498047,378.9677084295356,1,6656,0,SAC
1,lores,RGB,1674,SAC-2019-01208,/data/rgb_raw1/Sample_Set_12345_lores_RGB_1674_SAC-2019-01208_RGB_lores.tif,SAC-2019-01208,0,"(355.3025258382161, 251.42918602431052, 0, 6303, 0)",355.3025258382161,251.42918602431052,0,6303,0,SAC
2,lores,RGB,147,SAC-2015-01563-4S,/data/rgb_raw1/Sample_Set_89_lores_RGB_147_SAC-2015-01563-4S_RGB_lores.tif,SAC-2015-01563-4S,0,"(588.3651936848959, 384.2114394731537, 0, 6975, 0)",588.3651936848959,384.2114394731537,0,6975,0,SAC
3,lores,RGB,1449,SAC-2018-01812,/data/rgb_raw1/Sample_Set_12345_lores_RGB_1449_SAC-2018-01812_RGB_lores.tif,SAC-2018-01812,0,"(191.9609578450521, 371.63715689233516, 0, 7802, 0)",191.9609578450521,371.63715689233516,0,7802,0,SAC
4,lores,RGB,2341,SAC-2016-00877,/data/rgb_raw1/Sample_Set_12345_lores_RGB_2341_SAC-2016-00877_RGB_lores.tif,SAC-2016-00877,1,"(431.6496073404948, 396.4779876169203, 0, 7457, 0)",431.6496073404948,396.4779876169203,0,7457,0,SAC
5,hires,RGB,2295,SAW-2010-01739,/data/rgb_raw1/Sample_Set_12345_hires_RGB_2295_SAW-2010-01739_RGB_hires.tif,SAW-2010-01739,1,"(429.744379679362, 239.17387671283637, 42, 2352, 0)",429.744379679362,239.17387671283637,42,2352,0,SAW
6,hires,RGB,2217,SAC-2018-00598,/data/rgb_raw1/Sample_Set_12345_hires_RGB_2217_SAC-2018-00598_RGB_hires.tif,SAC-2018-00598,0,"(332.10460408528644, 166.28888275172437, 62, 2670, 0)",332.10460408528644,166.28888275172437,62,2670,0,SAC
7,hires,RGB,101,SAW-2019-01611,/data/rgb_raw1/Sample_Set_89_hires_RGB_101_SAW-2019-01611_RGB_hires.tif,SAW-2019-01611,0,"(478.1238199869792, 318.1153917919494, 1, 5884, 0)",478.1238199869792,318.1153917919494,1,5884,0,SAW
8,lores,RGB,404,SAC-2017-01006,/data/rgb_raw1/Sample_Set_12345_lores_RGB_404_SAC-2017-01006_RGB_lores.tif,SAC-2017-01006,0,"(343.15761311848956, 361.91140386433455, 51, 8105, 0)",343.15761311848956,361.91140386433455,51,8105,0,SAC
9,lores,RGB,1280,SAC-2016-00975,/data/rgb_raw1/Sample_Set_12345_lores_RGB_1280_SAC-2016-00975_RGB_lores.tif,SAC-2016-00975,1,"(424.5820821126302, 450.6602274569684, 37, 8478, 0)",424.5820821126302,450.6602274569684,37,8478,0,SAC
10,lores,RGB,805,SAW-2015-02329,/data/rgb_raw1/Sample_Set_12345_lores_RGB_805_SAW-2015-02329_RGB_lores.tif,SAW-2015-02329,1,"(348.14215596516925, 217.4703191727189, 0, 7570, 0)",348.14215596516925,217.4703191727189,0,7570,0,SAW
11,lores,RGB,487,SAC-2019-01144,/data/rgb_raw1/Sample_Set_12345_lores_RGB_487_SAC-2019-01144_RGB_lores.tif,SAC-2019-01144,0,"(293.0525207519531, 175.47867137523806, 48, 5373, 0)",293.0525207519531,175.47867137523806,48,5373,0,SAC
12,lores,RGB,682,SAW-2015-01426,/data/rgb_raw1/Sample_Set_12345_lores_RGB_682_SAW-2015-01426_RGB_lores.tif,SAW-2015-01426,0,"(493.44321695963544, 293.8306241521932, 0, 6922, 0)",493.44321695963544,293.8306241521932,0,6922,0,SAW
13,lores,RGB,1943,SAC-2017-00716,/data/rgb_raw1/Sample_Set_12345_lores_RGB_1943_SAC-2017-00716_RGB_lores.tif,SAC-2017-00716,1,"(394.8804880777995, 401.9164575139193, 37, 8105, 0)",394.8804880777995,401.9164575139193,37,8105,0,SAC
14,lores,RGB,222,SAW-2009-00558,/data/rgb_raw1/Sample_Set_89_lores_RGB_222_SAW-2009-00558_RGB_lores.tif,SAW-2009-00558,1,"(512.5176340738932, 371.6014325028589, 16, 6379, 0)",512.5176340738932,371.6014325028589,16,6379,0,SAW
15,lores,RGB,1949,SAW-2017-01685,/data/rgb_raw1/Sample_Set_12345_lores_RGB_1949_SAW-2017-01685_RGB_lores.tif,SAW-2017-01685,1,"(321.0730895996094, 309.13459662528976, 0, 3862, 0)",321.0730895996094,309.13459662528976,0,3862,0,SAW
16,lores,RGB,344,SAW-2015-02437,/data/rgb_raw1/Sample_Set_89_lores_RGB_344_SAW-2015-02437_RGB_lores.tif,SAW-2015-02437,1,"(327.0164388020833, 150.46868355840786, 0, 1942, 0)",327.0164388020833,150.46868355840786,0,1942,0,SAW
17,hires,RGB,2162,SAC-2019-02040,/data/rgb_raw1/Sample_Set_12345_hires_RGB_2162_SAC-2019-02040_RGB_hires.tif,SAC-2019-02040,1,"(260.9711558024089, 170.92055076315398, 1, 3746, 0)",260.9711558024089,170.92055076315398,1,3746,0,SAC
18,lores,RGB,1877,SAC-2019-01768,/data/rgb_raw1/Sample_Set_12345_lores_RGB_1877_SAC-2019-01768_RGB_lores.tif,SAC-2019-01768,0,"(433.4437662760417, 254.64416773621267, 55, 7428, 0)",433.4437662760417,254.64416773621267,55,7428,0,SAC
19,lores,RGB,672,SAC-2017-01438,/data/rgb_raw1/Sample_Set_12345_lores_RGB_672_SAC-2017-01438_RGB_lores.tif,SAC-2017-01438,0,"(507.02781677246094, 355.7391442898294, 27, 7848, 0)",507.02781677246094,355.7391442898294,27,7848,0,SAC
20,hires,RGB,2307,SAW-2016-00022,/data/rgb_raw1/Sample_Set_12345_hires_RGB_2307_SAW-2016-00022_RGB_hires.tif,SAW-2016-00022,1,"(488.9208272298177, 272.7148266530723, 1, 3480, 0)",488.9208272298177,272.7148266530723,1,3480,0,SAW
21,lores,RGB,2173,SAC-2019-01069,/data/rgb_raw1/Sample_Set_12345_lores_RGB_2173_SAC-2019-01069_RGB_lores.tif,SAC-2019-01069,0,"(490.9395243326823, 250.14779645060517, 55, 7428, 0)",490.9395243326823,250.14779645060517,55,7428,0,SAC
22,hires,RGB,217,SAW-2016-00310,/data/rgb_raw1/Sample_Set_89_hires_RGB_217_SAW-2016-00310_RGB_hires.tif,SAW-2016-00310,1,"(579.9682312011719, 205.95783665793113, 118, 2658, 0)",579.9682312011719,205.95783665793113,118,2658,0,SAW
23,hires,RGB,1798,SAW-2003-00254,/data/rgb_raw1/Sample_Set_12345_hires_RGB_1798_SAW-2003-00254_RGB_hires.tif,SAW-2003-00254,1,"(316.545415242513, 241.64014934221026, 53, 3798, 0)",316.545415242513,241.64014934221026,53,3798,0,SAW
24,lores,RGB,2113,SAW-2017-00965,/data/rgb_raw1/Sample_Set_12345_lores_RGB_2113_SAW-2017-00965_RGB_lores.tif,SAW-2017-00965,1,"(156.5113983154297, 225.3557638909869, 0, 2706, 0)",156.5113983154297,225.3557638909869,0,2706,0,SAW
