,index,jurisdiction_type,da_number,district,project_name,longitude,latitude,date_issued_or_denied,rha_determination,cwa_determination,rha1,rha2,cwa1,cwa2,cwa3,cwa4,cwa5,cwa6,cwa7,cwa8,cwa9,potential_wetland
0,8796,RAPANOS,SAC-2016-01703,Charleston,Division 1 New SC Hwy 403 WTP Well,-79.95809,34.10409,5/16/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9907,RAPANOS,SAC-2019-01160,Charleston,20 4th Avenue,-79.68271,34.62254,7/31/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9225,RAPANOS,SAC-2017-01929,Charleston,Cypress Creek Renewables / Brickyard Solar I Site,-79.86605,34.72943,3/16/2018,0,1,0,0,0,0,1,0,1,0,0,0,0,0
3,9765,RAPANOS,SAC-2019-00489,Charleston,Anderson Pelzer Site,-82.53064,34.67522,8/5/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,8596,RAPANOS,SAC-2016-00688,Charleston,Dukin Donuts 707 Tract,-79.03241,33.63113,7/28/2016,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5,11880,RAPANOS,SAW-2018-00368,Wilmington,Buchanan Drive Development,-83.00066,35.455259999999996,3/7/2018,0,1,0,0,0,0,1,0,1,1,0,0,0,0
6,9698,RAPANOS,SAC-2019-00111,Charleston,707 Whitner Tract,-78.89832,33.75632,4/2/2019,0,1,0,0,0,0,0,0,1,0,0,0,0,0
7,11387,RAPANOS,SAW-2016-00364,Wilmington,Town of Morrisville / Mason Farm - Kit Creek Reach 5 - 1 Project Repairs  / Wake County / Morrisville NC,-78.84595,35.85695,3/2/2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0
8,9932,RAPANOS,SAC-2019-01241,Charleston,10-Acre Water Tower Road,-78.79361999999999,33.80831,8/1/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8304,RAPANOS,SAC-2015-00261,Charleston,JKM Holdings South Carolina / Snee Farm Country Club,-79.82413000000001,32.84205,3/23/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,8500,RAPANOS,SAC-2016-00091-3VY,Charleston,Church of Nazarine Lees Landing Road,-78.98974,33.82305,10/25/2016,0,1,0,0,0,1,0,0,0,0,0,0,0,0
11,11316,RAPANOS,SAW-2016-00091,Wilmington,344 Corpening Road Stream Stabilization,-83.4953,35.1339,4/20/2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0
12,9661,RAPANOS,SAC-2018-01850,Charleston,Deaundra Douglas Single-Family Mobile Home Replacement,-79.78302,33.688520000000004,2/5/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,10999,RAPANOS,SAW-2014-02086,Wilmington,"Wake Technical Community College, Public Safety Campus",-78.64879,35.73619,4/28/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,11594,RAPANOS,SAW-2016-02059,Wilmington,Lausch Subdivision,-82.5317,35.58553,11/22/2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0
15,9791,RAPANOS,SAC-2019-00600,Charleston,1442 Old Rosebud Trail,-79.74094000000001,32.90532,6/17/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,9815,RAPANOS,SAC-2019-00709,Charleston,Petigru Road Nesbit Tract,-79.12394,33.45746,8/29/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,11181,RAPANOS,SAW-2015-02266,Wilmington,David and Micky Knapp  Lot 11 Cherry Ridge Subdivision,-76.89231,34.78025,10/29/2015,0,1,0,0,0,0,0,0,1,0,0,0,0,0
18,11027,RAPANOS,SAW-2015-00735,Wilmington,"Blair, John and Henlajon, Inc./Riverhawk Ridge Site",-79.11964,35.73073,2/1/2016,0,1,0,0,0,0,1,0,0,1,0,0,0,1
19,9922,RAPANOS,SAC-2019-01209,Charleston,Geraldine Brown Tract,-78.75596999999999,33.92153,10/17/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,9013,RAPANOS,SAC-2017-00954,Charleston,Prince Creek J4A Tract 1,-79.04649,33.58171,8/1/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,8636,RAPANOS,SAC-2016-00873,Charleston,SRS D-Area Discharge Canal,-81.73768000000001,33.1951,8/2/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,9008,RAPANOS,SAC-2017-00939,Charleston,Cainhoy Kolter Mines Area 3,-79.8457,32.94834,6/16/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,11008,RAPANOS,SAW-2015-00051,Wilmington,"Spencomm, LLC, Raven Ridge",-78.59253000000001,35.91702,4/14/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,9482,RAPANOS,SAC-2018-00980,Charleston,CURI Substation,-79.95744,32.85448,12/19/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,8423,RAPANOS,SAC-2015-01300,Charleston,"Odyssey Solar, LLC",-81.26716,33.78841,11/23/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,9871,RAPANOS,SAC-2019-01006,Charleston,Dickson Durrant Site 5,-80.20291,33.70125,9/24/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,8265,RAPANOS,SAC-2014-00215,Charleston,Pottery Road/CBRE #1376,-82.02202,34.980309999999996,12/20/2018,0,1,0,0,0,0,1,0,1,1,0,0,0,1
28,9285,RAPANOS,SAC-2018-00185,Charleston,Waccamaw Intermediate School,-79.09868,33.4881,4/16/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,8703,RAPANOS,SAC-2016-01282,Charleston,Stono Village Tract,-80.16747,32.76145,10/20/2017,0,1,0,0,0,0,1,0,1,0,0,0,0,1
30,10973,RAPANOS,SAW-2014-01246,Wilmington,"Crabtree Quarry, Hanson Aggregates Southeast, LLC",-78.71476,35.84554,5/16/2016,0,1,0,0,1,1,1,0,1,0,0,0,0,1
31,9608,RAPANOS,SAC-2018-01616,Charleston,Lifepoint Area 2,-80.04496999999999,32.8064,1/2/2019,1,1,1,0,1,1,0,0,0,0,0,0,0,1
32,8733,RAPANOS,SAC-2016-01427,Charleston,Myers Farm Project Site,-80.47725,32.428740000000005,10/23/2017,0,1,0,0,0,1,0,0,0,0,0,0,0,1
33,10086,RAPANOS,SAC-2020-00401,Charleston,Project #5A Area,-79.7601,32.80272,4/9/2020,1,1,1,0,1,0,0,0,0,0,0,0,0,0
34,9792,RAPANOS,SAC-2019-00604,Charleston,Henrietta Brown Single-Family Mobile Home Replacement ,-79.30396999999999,34.23279,4/17/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,11173,RAPANOS,SAW-2015-02219,Wilmington,Lennar Carolinas LLC / Arrington / formerly Ingleside,-80.918,35.4039,11/19/2015,0,1,0,0,0,0,1,0,1,0,0,0,0,0
36,9806,RAPANOS,SAC-2019-00661,Charleston,325 Front Street,-79.88468,34.70214,5/2/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,9019,RAPANOS,SAC-2017-00980,Charleston,Myrtlewood Realty Commercial Tract,-78.99894,33.598040000000005,1/31/2018,0,1,0,0,0,0,0,0,1,0,0,0,0,1
38,9150,RAPANOS,SAC-2017-01656,Charleston,Cannon Trail,-81.25608000000001,33.90214,11/9/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,8294,RAPANOS,SAC-2015-00126-3JY,Charleston,Former Wicked Sticks Golf Links,-78.98491999999999,33.63792,11/8/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,10850,RAPANOS,SAW-2007-00240,Wilmington,England St/Esclamodo,-80.8776,35.1323,1/8/2016,0,1,0,0,0,0,1,0,1,0,0,0,0,0
41,9833,RAPANOS,SAC-2019-00854,Charleston,Town of Lexington Pump Station - Cunningham Park,-81.16258,33.98149,3/27/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,11535,RAPANOS,SAW-2016-01458,Wilmington,"POHL, LL-Parker Overton/Pitt/JD",-77.34695,35.64287,8/24/2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0
43,8135,RAPANOS,SAC-2006-01758,Charleston,TMS 222-11-00-050 052 053 054 055,-80.10529,33.04829,10/11/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,9124,RAPANOS,SAC-2017-01522,Charleston,Sweetgum Drive Site,-80.22296999999999,32.946999999999996,4/25/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,9964,RAPANOS,SAC-2019-01446,Charleston,Town of Lexington Pump Station - Pump #16,-81.17137,33.99707,3/27/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,11383,RAPANOS,SAW-2016-00352,Wilmington,Crow Creek and Big Creek Stream Enhancement and Aquatic Organism Passage Project,-80.01106,35.502390000000005,4/15/2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0
47,10810,RAPANOS,SAW-2004-01078,Wilmington,ESTON BRINKLEY/5730 MARKET STREET/PAUL F,-77.85906999999999,34.247840000000004,5/21/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,9399,RAPANOS,SAC-2018-00626,Charleston,Ferry Wharf,-79.90391,32.799890000000005,7/27/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,9773,RAPANOS,SAC-2019-00526,Charleston,Snoopy Solar,-82.73841,34.52129,9/11/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,9032,RAPANOS,SAC-2017-01053,Charleston,"Thompkins Investments, LLC",-78.71115,33.85308,10/12/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,8484,RAPANOS,SAC-2016-00026,Charleston,"Shuler, Melvin / Pond 106 Big Chief Court",-80.90628000000001,34.91287,9/29/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,11281,RAPANOS,SAW-2015-02641,Wilmington,NCDOT / SR 1007 / Bridge 42 / Orange County / Division 7,-79.25968,36.03383,12/29/2015,0,1,0,0,0,0,1,0,0,0,0,0,0,0
53,8909,RAPANOS,SAC-2017-00388,Charleston,Al White Commercial Mall,-79.01116,33.80784,6/23/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,9844,RAPANOS,SAC-2019-00896,Charleston,Sea Island Comprehensive Health,-80.08329,32.71815,8/27/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,11249,RAPANOS,SAW-2015-02500,Wilmington,5122 Oleander Drive/JD/Road X-ing & Fill,-77.86796,34.20752,5/12/2016,0,1,0,0,0,0,1,0,0,1,0,0,0,0
56,10907,RAPANOS,SAW-2009-02181,Wilmington,Horne Creek Crossings,-80.49,36.266,2/10/2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0
57,8466,RAPANOS,SAC-2015-01718,Charleston,RUTH N. WATERS,-80.1429,32.71349,1/17/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,11122,RAPANOS,SAW-2015-01898,Wilmington,NORTHGATE DRIVE/THE WILLOWS II/HILLA,-78.00845,34.231790000000004,11/13/2015,0,1,0,0,0,1,0,0,0,0,0,0,0,1
59,8436,RAPANOS,SAC-2015-01529-3JY,Charleston,"Grimes, Bubba / Richmond Plantation East Phases II & VII",-79.28395,33.388729999999995,10/18/2016,0,1,0,0,0,1,0,0,0,0,0,0,0,1
60,10992,RAPANOS,SAW-2014-01918,Wilmington,Neely Road Pump Station,-82.71729,35.24541,12/15/2015,1,1,0,1,1,0,1,0,1,0,0,0,0,0
61,9388,RAPANOS,SAC-2018-00577,Charleston,JM Hwy 90 LLC Property,-78.70994,33.85263,5/17/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,10084,RAPANOS,SAC-2020-00391,Charleston,13-AC Harbor Boulevard Tract,-78.94341,33.70344,4/8/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,8396,RAPANOS,SAC-2015-01197,Charleston,Rivers Avenue Land Holdings LLC / 7255 Rivers Avenue,-80.04185,32.93025,1/25/2016,0,1,0,0,0,0,1,0,1,0,0,0,0,1
64,11210,RAPANOS,SAW-2015-02366,Wilmington,Laney High Trask Middle School/JD,-77.87255,34.29906,2/10/2016,0,1,0,0,0,0,1,0,0,1,0,0,0,0
65,9485,RAPANOS,SAC-2018-00999,Charleston,Shortcut Road and Highway 170 Project Site,-80.9293,32.3327,10/22/2018,0,1,0,0,0,1,0,0,0,0,0,0,0,1
66,10036,RAPANOS,SAC-2019-01969,Charleston,Lot 3 Ladson Road,-80.1023,32.98842,1/28/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,11332,RAPANOS,SAW-2016-00135,Wilmington,"Spell, Terry / Upchurch Farm SD / UA",-78.98599,34.94015,6/29/2016,0,1,0,0,0,0,0,0,1,0,0,0,0,0
68,9604,RAPANOS,SAC-2018-01547,Charleston,Station Creek ,-80.63649000000001,32.29937,4/8/2019,0,1,0,0,0,1,0,0,0,0,0,0,0,0
69,9105,RAPANOS,SAC-2017-01437,Charleston,Palmetto Health Tuomey / Palmetto Health Tuomey Sumter Site,-80.42388000000001,33.96049,12/12/2017,0,1,0,0,0,0,1,0,1,0,0,0,0,1
70,10091,RAPANOS,SAC-2020-00406,Charleston,Forest Trails Outfall,-79.76626999999999,32.80265,4/16/2020,1,1,1,0,1,0,0,0,0,0,0,0,0,1
71,11204,RAPANOS,SAW-2015-02333,Wilmington,Drake Stream Bank Stabilization,-83.4067,35.181,12/22/2015,0,1,0,0,0,0,1,0,0,0,0,0,0,0
72,9302,RAPANOS,SAC-2018-00241,Charleston,Bibleway Site,-80.98264,33.94072,3/23/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,9313,RAPANOS,SAC-2018-00273,Charleston,MYR Overflow Parking Lot#2,-78.92228,33.67644,3/20/2018,0,1,0,0,0,1,0,0,0,0,0,0,0,1
